|theta	|radius	|x	|y	|
|      0|1.370562710|1.370562710|0.000000000|
|      2|1.358118154|1.357290825|0.047397640|
|      4|1.345664486|1.342386515|0.093868809|
|      6|1.333216185|1.325912688|0.139359039|
|      8|1.320787790|1.307933974|0.183818132|
|     10|1.308393880|1.288516437|0.227200213|
|     12|1.296049071|1.267727289|0.269463754|
|     14|1.283768002|1.245634606|0.310571589|
|     16|1.271565322|1.222307038|0.350490903|
|     18|1.259455686|1.197813537|0.389193211|
|     20|1.247453735|1.172223070|0.426654305|
|     22|1.235574095|1.145604352|0.462854202|
|     24|1.223831357|1.118025577|0.497777058|
|     26|1.212240075|1.089554162|0.531411072|
|     28|1.200814746|1.060256489|0.563748375|
|     30|1.189569803|1.030197669|0.594784901|
|     32|1.178519601|0.999441304|0.624520240|
|     34|1.167678405|0.968049271|0.652957478|
|     36|1.157060375|0.936081507|0.680103025|
|     38|1.146679551|0.903595817|0.705966424|
|     40|1.136549837|0.870647687|0.730560153|
|     42|1.126684985|0.837290117|0.753899407|
|     44|1.117098575|0.803573466|0.776001876|
|     46|1.107803997|0.769545319|0.796887506|
|     48|1.098814424|0.735250362|0.816578254|
|     50|1.090142797|0.700730283|0.835097832|
|     52|1.081801791|0.666023686|0.852471444|
|     54|1.073803792|0.631166033|0.868725517|
|     56|1.066160869|0.596189592|0.883887419|
|     58|1.058884740|0.561123422|0.897985187|
|     60|1.051986737|0.525993369|0.911047239|
|     62|1.045477780|0.490822087|0.923102089|
|     64|1.039368328|0.455629086|0.934178065|
|     66|1.033668355|0.420430797|0.944303030|
|     68|1.028387299|0.385240663|0.953504100|
|     70|1.023534032|0.350069256|0.961807377|
|     72|1.019116818|0.314924416|0.969237691|
|     74|1.015143274|0.279811408|0.975818345|
|     76|1.011620331|0.244733108|0.981570884|
|     78|1.008554203|0.209690210|0.986514874|
|     80|1.005950349|0.174681445|0.990667703|
|     82|1.003813445|0.139703830|0.994044401|
|     84|1.002147355|0.104752923|0.996657487|
|     86|1.000955109|0.069823099|0.998516833|
|     88|1.000238887|0.034907834|0.999629568|
|     90|1.000000000|0.000000000|1.000000000|
|     92|1.000238887|-0.034907834|0.999629568|
|     94|1.000955109|-0.069823099|0.998516833|
|     96|1.002147355|-0.104752923|0.996657487|
|     98|1.003813445|-0.139703830|0.994044401|
|    100|1.005950349|-0.174681445|0.990667703|
|    102|1.008554203|-0.209690210|0.986514874|
|    104|1.011620331|-0.244733108|0.981570884|
|    106|1.015143274|-0.279811408|0.975818345|
|    108|1.019116818|-0.314924416|0.969237691|
|    110|1.023534032|-0.350069256|0.961807377|
|    112|1.028387299|-0.385240663|0.953504100|
|    114|1.033668355|-0.420430797|0.944303030|
|    116|1.039368328|-0.455629086|0.934178065|
|    118|1.045477780|-0.490822087|0.923102089|
|    120|1.051986737|-0.525993369|0.911047239|
|    122|1.058884740|-0.561123422|0.897985187|
|    124|1.066160869|-0.596189592|0.883887419|
|    126|1.073803792|-0.631166033|0.868725517|
|    128|1.081801791|-0.666023686|0.852471444|
|    130|1.090142797|-0.700730283|0.835097832|
