|theta	|radius	|x	|y	|
|      0|1.162350206|1.162350206|0.000000000|
|      2|1.157050941|1.156346097|0.040380496|
|      4|1.151737961|1.148932385|0.080341179|
|      6|1.146417332|1.140137138|0.119833242|
|      8|1.141095195|1.129990135|0.158809757|
|     10|1.135777757|1.118522741|0.197225738|
|     12|1.130471290|1.105767780|0.235038197|
|     14|1.125182126|1.091759408|0.272206193|
|     16|1.119916656|1.076532984|0.308690866|
|     18|1.114681324|1.060124937|0.344455472|
|     20|1.109482622|1.042572633|0.379465405|
|     22|1.104327088|1.023914246|0.413688209|
|     24|1.099221299|1.004188625|0.447093581|
|     26|1.094171866|0.983435159|0.479653376|
|     28|1.089185429|0.961693652|0.511341585|
|     30|1.084268648|0.939004193|0.542134324|
|     32|1.079428200|0.915407030|0.572009797|
|     34|1.074670767|0.890942444|0.600948267|
|     36|1.070003033|0.865650637|0.628932002|
|     38|1.065431666|0.839571610|0.655945231|
|     40|1.060963316|0.812745053|0.681974074|
|     42|1.056604602|0.785210243|0.707006478|
|     44|1.052362098|0.757005941|0.731032140|
|     46|1.048242319|0.728170301|0.754042420|
|     48|1.044251711|0.698740781|0.776030256|
|     50|1.040396635|0.668754066|0.796990061|
|     52|1.036683346|0.638245998|0.816917625|
|     54|1.033117983|0.607251514|0.835810005|
|     56|1.029706546|0.575804593|0.853665415|
|     58|1.026454879|0.543938214|0.870483106|
|     60|1.023368650|0.511684325|0.886263249|
|     62|1.020453331|0.479073820|0.901006812|
|     64|1.017714173|0.446136529|0.914715439|
|     66|1.015156192|0.412901222|0.927391328|
|     68|1.012784140|0.379395617|0.939037103|
|     70|1.010602490|0.345646409|0.949655703|
|     72|1.008615409|0.311679302|0.959250257|
|     74|1.006826740|0.277519060|0.967823979|
|     76|1.005239982|0.243189562|0.975380059|
|     78|1.003858274|0.208713871|0.981921562|
|     80|1.002684370|0.174114314|0.987451342|
|     82|1.001720633|0.139412567|0.991971957|
|     84|1.000969013|0.104629753|0.995485600|
|     86|1.000431041|0.069786542|0.997994041|
|     88|1.000107816|0.034903259|0.999498577|
|     90|1.000000000|0.000000000|1.000000000|
|     92|1.000107816|-0.034903259|0.999498577|
|     94|1.000431041|-0.069786542|0.997994041|
|     96|1.000969013|-0.104629753|0.995485600|
|     98|1.001720633|-0.139412567|0.991971957|
|    100|1.002684370|-0.174114314|0.987451342|
|    102|1.003858274|-0.208713871|0.981921562|
|    104|1.005239982|-0.243189562|0.975380059|
|    106|1.006826740|-0.277519060|0.967823979|
|    108|1.008615409|-0.311679302|0.959250257|
|    110|1.010602490|-0.345646409|0.949655703|
|    112|1.012784140|-0.379395617|0.939037103|
|    114|1.015156192|-0.412901222|0.927391328|
|    116|1.017714173|-0.446136529|0.914715439|
|    118|1.020453331|-0.479073820|0.901006812|
|    120|1.023368650|-0.511684325|0.886263249|
|    122|1.026454879|-0.543938214|0.870483106|
|    124|1.029706546|-0.575804593|0.853665415|
|    126|1.033117983|-0.607251514|0.835810005|
|    128|1.036683346|-0.638245998|0.816917625|
|    130|1.040396635|-0.668754066|0.796990061|
|    132|1.044251711|-0.698740781|0.776030256|
|    134|1.048242319|-0.728170301|0.754042420|
|    136|1.052362098|-0.757005941|0.731032140|
|    138|1.056604602|-0.785210243|0.707006478|
|    140|1.060963316|-0.812745053|0.681974074|
