|theta	|radius	|x	|y	|
|      0|1.000000000|1.000000000|0.000000000|
|      2|1.000000000|0.999390827|0.034899497|
|      4|1.000000000|0.997564050|0.069756474|
|      6|1.000000000|0.994521895|0.104528463|
|      8|1.000000000|0.990268069|0.139173101|
|     10|1.000000000|0.984807753|0.173648178|
|     12|1.000000000|0.978147601|0.207911691|
|     14|1.000000000|0.970295726|0.241921896|
|     16|1.000000000|0.961261696|0.275637356|
|     18|1.000000000|0.951056516|0.309016994|
|     20|1.000000000|0.939692621|0.342020143|
|     22|1.000000000|0.927183855|0.374606593|
|     24|1.000000000|0.913545458|0.406736643|
|     26|1.000000000|0.898794046|0.438371147|
|     28|1.000000000|0.882947593|0.469471563|
|     30|1.000000000|0.866025404|0.500000000|
|     32|1.000000000|0.848048096|0.529919264|
|     34|1.000000000|0.829037573|0.559192903|
|     36|1.000000000|0.809016994|0.587785252|
|     38|1.000000000|0.788010754|0.615661475|
|     40|1.000000000|0.766044443|0.642787610|
|     42|1.000000000|0.743144825|0.669130606|
|     44|1.000000000|0.719339800|0.694658370|
|     46|1.000000000|0.694658370|0.719339800|
|     48|1.000000000|0.669130606|0.743144825|
|     50|1.000000000|0.642787610|0.766044443|
|     52|1.000000000|0.615661475|0.788010754|
|     54|1.000000000|0.587785252|0.809016994|
|     56|1.000000000|0.559192903|0.829037573|
|     58|1.000000000|0.529919264|0.848048096|
|     60|1.000000000|0.500000000|0.866025404|
|     62|1.000000000|0.469471563|0.882947593|
|     64|1.000000000|0.438371147|0.898794046|
|     66|1.000000000|0.406736643|0.913545458|
|     68|1.000000000|0.374606593|0.927183855|
|     70|1.000000000|0.342020143|0.939692621|
|     72|1.000000000|0.309016994|0.951056516|
|     74|1.000000000|0.275637356|0.961261696|
|     76|1.000000000|0.241921896|0.970295726|
|     78|1.000000000|0.207911691|0.978147601|
|     80|1.000000000|0.173648178|0.984807753|
|     82|1.000000000|0.139173101|0.990268069|
|     84|1.000000000|0.104528463|0.994521895|
|     86|1.000000000|0.069756474|0.997564050|
|     88|1.000000000|0.034899497|0.999390827|
|     90|1.000000000|0.000000000|1.000000000|
|     92|1.000000000|-0.034899497|0.999390827|
|     94|1.000000000|-0.069756474|0.997564050|
|     96|1.000000000|-0.104528463|0.994521895|
|     98|1.000000000|-0.139173101|0.990268069|
|    100|1.000000000|-0.173648178|0.984807753|
|    102|1.000000000|-0.207911691|0.978147601|
|    104|1.000000000|-0.241921896|0.970295726|
|    106|1.000000000|-0.275637356|0.961261696|
|    108|1.000000000|-0.309016994|0.951056516|
|    110|1.000000000|-0.342020143|0.939692621|
|    112|1.000000000|-0.374606593|0.927183855|
|    114|1.000000000|-0.406736643|0.913545458|
|    116|1.000000000|-0.438371147|0.898794046|
|    118|1.000000000|-0.469471563|0.882947593|
|    120|1.000000000|-0.500000000|0.866025404|
|    122|1.000000000|-0.529919264|0.848048096|
|    124|1.000000000|-0.559192903|0.829037573|
|    126|1.000000000|-0.587785252|0.809016994|
|    128|1.000000000|-0.615661475|0.788010754|
|    130|1.000000000|-0.642787610|0.766044443|
|    132|1.000000000|-0.669130606|0.743144825|
|    134|1.000000000|-0.694658370|0.719339800|
|    136|1.000000000|-0.719339800|0.694658370|
|    138|1.000000000|-0.743144825|0.669130606|
|    140|1.000000000|-0.766044443|0.642787610|
|    142|1.000000000|-0.788010754|0.615661475|
|    144|1.000000000|-0.809016994|0.587785252|
|    146|1.000000000|-0.829037573|0.559192903|
|    148|1.000000000|-0.848048096|0.529919264|
|    150|1.000000000|-0.866025404|0.500000000|
|    152|1.000000000|-0.882947593|0.469471563|
|    154|1.000000000|-0.898794046|0.438371147|
|    156|1.000000000|-0.913545458|0.406736643|
|    158|1.000000000|-0.927183855|0.374606593|
|    160|1.000000000|-0.939692621|0.342020143|
|    162|1.000000000|-0.951056516|0.309016994|
|    164|1.000000000|-0.961261696|0.275637356|
|    166|1.000000000|-0.970295726|0.241921896|
|    168|1.000000000|-0.978147601|0.207911691|
|    170|1.000000000|-0.984807753|0.173648178|
|    172|1.000000000|-0.990268069|0.139173101|
|    174|1.000000000|-0.994521895|0.104528463|
|    176|1.000000000|-0.997564050|0.069756474|
|    178|1.000000000|-0.999390827|0.034899497|
|    180|1.000000000|-1.000000000|0.000000000|
|    182|1.000000000|-0.999390827|-0.034899497|
|    184|1.000000000|-0.997564050|-0.069756474|
|    186|1.000000000|-0.994521895|-0.104528463|
|    188|1.000000000|-0.990268069|-0.139173101|
|    190|1.000000000|-0.984807753|-0.173648178|
|    192|1.000000000|-0.978147601|-0.207911691|
|    194|1.000000000|-0.970295726|-0.241921896|
|    196|1.000000000|-0.961261696|-0.275637356|
|    198|1.000000000|-0.951056516|-0.309016994|
|    200|1.000000000|-0.939692621|-0.342020143|
|    202|1.000000000|-0.927183855|-0.374606593|
