|angle	|radius		|
|      0|1.171042753|
|      1|1.168254502|
|      2|1.165461859|
|      3|1.162665615|
|      4|1.159866563|
|      5|1.157065504|
|      6|1.154263242|
|      7|1.151460586|
|      8|1.148658350|
|      9|1.145857350|
|     10|1.143058408|
|     11|1.140262351|
|     12|1.137470008|
|     13|1.134682213|
|     14|1.131899803|
|     15|1.129123620|
|     16|1.126354507|
|     17|1.123593314|
|     18|1.120840891|
|     19|1.118098092|
|     20|1.115365775|
|     21|1.112644800|
|     22|1.109936029|
|     23|1.107240328|
|     24|1.104558564|
|     25|1.101891606|
|     26|1.099240326|
|     27|1.096605597|
|     28|1.093988294|
|     29|1.091389293|
|     30|1.088809471|
|     31|1.086249706|
|     32|1.083710875|
|     33|1.081193859|
|     34|1.078699535|
|     35|1.076228783|
|     36|1.073782480|
|     37|1.071361503|
|     38|1.068966728|
|     39|1.066599029|
|     40|1.064259279|
|     41|1.061948348|
|     42|1.059667103|
|     43|1.057416409|
|     44|1.055197125|
|     45|1.053010109|
|     46|1.050856212|
|     47|1.048736283|
|     48|1.046651162|
|     49|1.044601686|
|     50|1.042588683|
|     51|1.040612977|
|     52|1.038675380|
|     53|1.036776701|
|     54|1.034917736|
|     55|1.033099273|
|     56|1.031322090|
|     57|1.029586955|
|     58|1.027894622|
|     59|1.026245837|
|     60|1.024641328|
|     61|1.023081815|
|     62|1.021567999|
|     63|1.020100570|
|     64|1.018680200|
|     65|1.017307545|
|     66|1.015983244|
|     67|1.014707918|
|     68|1.013482171|
|     69|1.012306586|
|     70|1.011181726|
|     71|1.010108134|
|     72|1.009086332|
|     73|1.008116819|
|     74|1.007200072|
|     75|1.006336544|
|     76|1.005526664|
|     77|1.004770837|
|     78|1.004069442|
|     79|1.003422833|
|     80|1.002831337|
|     81|1.002295256|
|     82|1.001814862|
|     83|1.001390401|
|     84|1.001022092|
|     85|1.000710123|
|     86|1.000454655|
|     87|1.000255821|
|     88|1.000113723|
|     89|1.000028434|
|     90|1.000000000|
|     91|1.000028434|
|     92|1.000113723|
|     93|1.000255821|
|     94|1.000454655|
|     95|1.000710123|
|     96|1.001022092|
|     97|1.001390401|
|     98|1.001814862|
|     99|1.002295256|
|    100|1.002831337|
|    101|1.003422833|
|    102|1.004069442|
|    103|1.004770837|
|    104|1.005526664|
|    105|1.006336544|
|    106|1.007200072|
|    107|1.008116819|
|    108|1.009086332|
|    109|1.010108134|
|    110|1.011181726|
|    111|1.012306586|
|    112|1.013482171|
|    113|1.014707918|
|    114|1.015983244|
|    115|1.017307545|
|    116|1.018680200|
|    117|1.020100570|
|    118|1.021567999|
|    119|1.023081815|
|    120|1.024641328|
|    121|1.026245837|
|    122|1.027894622|
|    123|1.029586955|
|    124|1.031322090|
|    125|1.033099273|
|    126|1.034917736|
|    127|1.036776701|
|    128|1.038675380|
|    129|1.040612977|
|    130|1.042588683|
|    131|1.044601686|
|    132|1.046651162|
|    133|1.048736283|
|    134|1.050856212|
|    135|1.053010109|
|    136|1.055197125|
|    137|1.057416409|
|    138|1.059667103|
|    139|1.061948348|
|    140|1.064259279|
|    141|1.066599029|
|    142|1.068966728|
|    143|1.071361503|
|    144|1.073782480|
|    145|1.076228783|
|    146|1.078699535|
|    147|1.081193859|
|    148|1.083710875|
|    149|1.086249706|
|    150|1.088809471|
|    151|1.091389293|
|    152|1.093988294|
|    153|1.096605597|
|    154|1.099240326|
|    155|1.101891606|
|    156|1.104558564|
|    157|1.107240328|
|    158|1.109936029|
|    159|1.112644800|
|    160|1.115365775|
|    161|1.118098092|
|    162|1.120840891|
|    163|1.123593314|
|    164|1.126354507|
|    165|1.129123620|
|    166|1.131899803|
|    167|1.134682213|
|    168|1.137470008|
|    169|1.140262351|
|    170|1.143058408|
|    171|1.145857350|
|    172|1.148658350|
|    173|1.151460586|
|    174|1.154263242|
|    175|1.157065504|
|    176|1.159866563|
|    177|1.162665615|
|    178|1.165461859|
|    179|1.168254502|
|    180|1.171042753|
|    181|1.173825827|
|    182|1.176602943|
|    183|1.179373326|
|    184|1.182136207|
|    185|1.184890820|
|    186|1.187636407|
|    187|1.190372213|
|    188|1.193097490|
|    189|1.195811495|
|    190|1.198513493|
|    191|1.201202750|
|    192|1.203878543|
|    193|1.206540152|
|    194|1.209186863|
|    195|1.211817971|
|    196|1.214432774|
|    197|1.217030578|
|    198|1.219610695|
|    199|1.222172444|
|    200|1.224715151|
|    201|1.227238146|
|    202|1.229740769|
|    203|1.232222367|
|    204|1.234682290|
|    205|1.237119900|
|    206|1.239534563|
|    207|1.241925654|
|    208|1.244292554|
|    209|1.246634652|
|    210|1.248951345|
|    211|1.251242036|
|    212|1.253506138|
|    213|1.255743071|
|    214|1.257952262|
|    215|1.260133147|
|    216|1.262285169|
|    217|1.264407780|
|    218|1.266500440|
|    219|1.268562618|
|    220|1.270593791|
|    221|1.272593443|
|    222|1.274561068|
|    223|1.276496170|
|    224|1.278398260|
|    225|1.280266857|
|    226|1.282101491|
|    227|1.283901701|
|    228|1.285667033|
|    229|1.287397043|
|    230|1.289091299|
|    231|1.290749373|
|    232|1.292370852|
|    233|1.293955329|
|    234|1.295502407|
|    235|1.297011699|
|    236|1.298482829|
|    237|1.299915428|
|    238|1.301309140|
|    239|1.302663617|
|    240|1.303978521|
|    241|1.305253524|
|    242|1.306488308|
|    243|1.307682568|
|    244|1.308836004|
|    245|1.309948331|
|    246|1.311019272|
|    247|1.312048561|
|    248|1.313035943|
|    249|1.313981171|
|    250|1.314884012|
|    251|1.315744241|
|    252|1.316561645|
|    253|1.317336021|
|    254|1.318067178|
|    255|1.318754934|
|    256|1.319399119|
|    257|1.319999572|
|    258|1.320556146|
|    259|1.321068703|
|    260|1.321537115|
|    261|1.321961267|
|    262|1.322341054|
|    263|1.322676381|
|    264|1.322967166|
|    265|1.323213336|
|    266|1.323414832|
|    267|1.323571602|
|    268|1.323683609|
|    269|1.323750824|
|    270|1.323773231|
|    271|1.323750824|
|    272|1.323683609|
|    273|1.323571602|
|    274|1.323414832|
|    275|1.323213336|
|    276|1.322967166|
|    277|1.322676381|
|    278|1.322341054|
|    279|1.321961267|
|    280|1.321537115|
|    281|1.321068703|
|    282|1.320556146|
|    283|1.319999572|
|    284|1.319399119|
|    285|1.318754934|
|    286|1.318067178|
|    287|1.317336021|
|    288|1.316561645|
|    289|1.315744241|
|    290|1.314884012|
|    291|1.313981171|
|    292|1.313035943|
|    293|1.312048561|
|    294|1.311019272|
|    295|1.309948331|
|    296|1.308836004|
|    297|1.307682568|
|    298|1.306488308|
|    299|1.305253524|
|    300|1.303978521|
|    301|1.302663617|
|    302|1.301309140|
